               shift	                cell	              time_d	                  pH	             Olivine	           Enstatite	           Lizardite	           Magnesite	            Siderite	            Dolomite	       Rhodochrosite	                  Mg	                  Fe	                  Si	                   C	                HCO3	              MgHCO3	              FeHCO3	                 CO3	               CO2aq	          alkalinity	
  1.000000000000e+00	  1.000000000000e+00	  1.500000000000e+01	  8.306537966918e+00	  1.985409339780e-02	  3.215808870356e-02	  4.487117959379e-02	  0.000000000000e+00	  0.000000000000e+00	  1.647310943332e-03	  7.252655579575e-06	  3.916863008008e+01	  3.764238174713e-04	  9.399085046391e+00	  1.246526418091e+02	  1.211164308937e+02	  4.373429895761e-01	  1.734995801920e-11	  9.694140272989e-01	  1.588921070954e+00	  1.247726287783e+00	
  1.000000000000e+00	  2.000000000000e+00	  1.500000000000e+01	  8.310940968685e+00	  1.994700215283e-02	  3.215904447443e-02	  4.488060472461e-02	  0.000000000000e+00	  0.000000000000e+00	  1.950752791652e-03	  1.135334191875e-05	  4.249142469041e+01	  3.765663208276e-04	  1.288657520189e+01	  1.259737252550e+02	  1.223794394245e+02	  4.788481957217e-01	  1.717916866510e-11	  9.902072232000e-01	  1.588916091156e+00	  1.261848291434e+00	
  1.000000000000e+00	  3.000000000000e+00	  1.500000000000e+01	  8.309438504647e+00	  1.994694063298e-02	  3.215904439258e-02	  4.488059506775e-02	  0.000000000000e+00	  0.000000000000e+00	  1.953048995145e-03	  9.318576880586e-06	  4.146315743715e+01	  3.765170196913e-04	  1.181983688063e+01	  1.255219023276e+02	  1.219470056060e+02	  4.657892770000e-01	  1.723726256257e-11	  9.830630119653e-01	  1.588917789378e+00	  1.257036410069e+00	
  1.000000000000e+00	  4.000000000000e+00	  1.500000000000e+01	  8.308858867802e+00	  1.994693003497e-02	  3.215904437849e-02	  4.488059340583e-02	  0.000000000000e+00	  0.000000000000e+00	  1.953241708687e-03	  9.318705500299e-06	  4.104199266188e+01	  3.764981872553e-04	  1.137961198287e+01	  1.253479030997e+02	  1.217805804717e+02	  4.604974755613e-01	  1.725972626743e-11	  9.803204681005e-01	  1.588918444513e+00	  1.255179174336e+00	
  1.000000000000e+00	  5.000000000000e+00	  1.500000000000e+01	  8.310159194650e+00	  1.994695397099e-02	  3.215904441032e-02	  4.488059715862e-02	  0.000000000000e+00	  0.000000000000e+00	  2.064847296193e-03	  9.931929719914e-06	  4.196768489490e+01	  3.765405875250e-04	  1.238565840262e+01	  1.257385040027e+02	  1.221542589877e+02	  4.721704817207e-01	  1.720937500379e-11	  9.864840433798e-01	  1.588916971942e+00	  1.259352891276e+00	
  1.000000000000e+00	  6.000000000000e+00	  1.500000000000e+01	  7.321852389846e+00	  1.986065745353e-02	  3.215890722452e-02	  4.485909580181e-02	  0.000000000000e+00	  0.000000000000e+00	  4.959070207438e-04	  1.774400016094e-05	  1.233345023578e+02	  5.515514875685e-04	  1.954459908477e+01	  4.657840799075e+02	  4.100492098843e+02	  4.027239338579e+00	  9.750407468217e-10	  3.754923892545e-01	  5.021029928337e+01	  4.164767985150e+00	
  1.000000000000e+00	  7.000000000000e+00	  1.500000000000e+01	  7.322076900512e+00	  1.986066915252e-02	  3.215890724547e-02	  4.485909968981e-02	  0.000000000000e+00	  0.000000000000e+00	  1.332921138399e-03	  1.835568044447e-05	  1.242182355844e+02	  5.514383856574e-04	  1.954460401736e+01	  4.660296140936e+02	  4.102685951008e+02	  4.057918462973e+00	  9.745553357853e-10	  3.759078306352e-01	  5.021027503991e+01	  4.167224638418e+00	
  1.000000000000e+00	  8.000000000000e+00	  1.500000000000e+01	  7.322076900512e+00	  1.986066915252e-02	  3.215890724547e-02	  4.485909968981e-02	  0.000000000000e+00	  0.000000000000e+00	  1.332921138399e-03	  1.835568044625e-05	  1.242182355843e+02	  5.514383856574e-04	  1.954460401736e+01	  4.660296140937e+02	  4.102685951008e+02	  4.057918462972e+00	  9.745553357853e-10	  3.759078306352e-01	  5.021027503991e+01	  4.167224638419e+00	
  1.000000000000e+00	  9.000000000000e+00	  1.500000000000e+01	  7.322076900512e+00	  1.986066915252e-02	  3.215890724547e-02	  4.485909968981e-02	  0.000000000000e+00	  0.000000000000e+00	  1.332921138399e-03	  1.835568044625e-05	  1.242182355843e+02	  5.514383856574e-04	  1.954460401736e+01	  4.660296140937e+02	  4.102685951008e+02	  4.057918462972e+00	  9.745553357853e-10	  3.759078306352e-01	  5.021027503991e+01	  4.167224638419e+00	
  1.000000000000e+00	  1.000000000000e+01	  1.500000000000e+01	  7.322076900512e+00	  1.986066915252e-02	  3.215890724547e-02	  4.485909968981e-02	  0.000000000000e+00	  0.000000000000e+00	  1.332921138399e-03	  1.835568044625e-05	  1.242182355843e+02	  5.514383856574e-04	  1.954460401736e+01	  4.660296140937e+02	  4.102685951008e+02	  4.057918462972e+00	  9.745553357853e-10	  3.759078306352e-01	  5.021027503991e+01	  4.167224638419e+00	
