               shift	                cell	              time_d	                  pH	             Olivine	           Enstatite	           Lizardite	           Magnesite	          Chalcedony	             Fe(OH)3	       Rhodochrosite	                  Mg	                  Fe	                  Si	                   C	                HCO3	              MgHCO3	              FeHCO3	                 CO3	               CO2aq	          alkalinity	
  0.000000000000e+00	  4.000000000000e+00	  0.000000000000e+00	  8.140204299757e+00	  2.004000000000e-02	  3.216000000000e-02	  4.489000000000e-02	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  2.741774393304e+01	  0.000000000000e+00	  0.000000000000e+00	  1.095454190829e+02	  1.063015671517e+02	  2.839577065221e-01	  1.000000000000e-94	  8.180954295578e-01	  1.616624914903e+00	  1.093546503222e+00	
  0.000000000000e+00	  5.000000000000e+00	  0.000000000000e+00	  8.009092947662e+00	  2.004000000000e-02	  3.216000000000e-02	  4.489000000000e-02	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  3.206286791300e+01	  0.000000000000e+00	  0.000000000000e+00	  1.292172605239e+02	  1.249901316268e+02	  3.850974607368e-01	  1.000000000000e-94	  7.184215489590e-01	  2.562066669859e+00	  1.279351459063e+00	
  0.000000000000e+00	  6.000000000000e+00	  0.000000000000e+00	  8.009092947662e+00	  2.004000000000e-02	  3.216000000000e-02	  4.489000000000e-02	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  3.206286791300e+01	  0.000000000000e+00	  0.000000000000e+00	  1.292172605239e+02	  1.249901316268e+02	  3.850974607368e-01	  1.000000000000e-94	  7.184215489590e-01	  2.562066669859e+00	  1.279351459063e+00	
  0.000000000000e+00	  7.000000000000e+00	  0.000000000000e+00	  7.877931958438e+00	  2.004000000000e-02	  3.216000000000e-02	  4.489000000000e-02	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  3.755656606206e+01	  0.000000000000e+00	  0.000000000000e+00	  1.528120510121e+02	  1.469867966552e+02	  5.224513479359e-01	  1.000000000000e-94	  6.314262365935e-01	  4.060391205476e+00	  1.499099381697e+00	
  0.000000000000e+00	  8.000000000000e+00	  0.000000000000e+00	  7.877931958438e+00	  2.004000000000e-02	  3.216000000000e-02	  4.489000000000e-02	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  3.755656606206e+01	  0.000000000000e+00	  0.000000000000e+00	  1.528120510121e+02	  1.469867966552e+02	  5.224513479359e-01	  1.000000000000e-94	  6.314262365935e-01	  4.060391205476e+00	  1.499099381697e+00	
  0.000000000000e+00	  9.000000000000e+00	  0.000000000000e+00	  7.746776119192e+00	  2.004000000000e-02	  3.216000000000e-02	  4.489000000000e-02	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  4.405515525892e+01	  0.000000000000e+00	  0.000000000000e+00	  1.812828566375e+02	  1.729051844601e+02	  7.089695651716e-01	  1.000000000000e-94	  5.556065939737e-01	  6.434885028727e+00	  1.759042946606e+00	
  0.000000000000e+00	  1.000000000000e+01	  0.000000000000e+00	  7.746776119192e+00	  2.004000000000e-02	  3.216000000000e-02	  4.489000000000e-02	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  4.405515525892e+01	  0.000000000000e+00	  0.000000000000e+00	  1.812828566375e+02	  1.729051844601e+02	  7.089695651716e-01	  1.000000000000e-94	  5.556065939737e-01	  6.434885028727e+00	  1.759042946606e+00	
  0.000000000000e+00	  1.100000000000e+01	  0.000000000000e+00	  7.615668463605e+00	  2.004000000000e-02	  3.216000000000e-02	  4.489000000000e-02	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  5.174615046491e+01	  0.000000000000e+00	  0.000000000000e+00	  2.158956766208e+02	  2.034764019595e+02	  9.622234386307e-01	  1.000000000000e-94	  4.895827198029e-01	  1.019783738199e+01	  2.066682752818e+00	
  0.000000000000e+00	  1.200000000000e+01	  0.000000000000e+00	  7.615668463605e+00	  2.004000000000e-02	  3.216000000000e-02	  4.489000000000e-02	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  5.174615046491e+01	  0.000000000000e+00	  0.000000000000e+00	  2.158956766208e+02	  2.034764019595e+02	  9.622234386307e-01	  1.000000000000e-94	  4.895827198029e-01	  1.019783738199e+01	  2.066682752818e+00	
  0.000000000000e+00	  1.300000000000e+01	  0.000000000000e+00	  7.484643715853e+00	  2.004000000000e-02	  3.216000000000e-02	  4.489000000000e-02	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  6.085474755803e+01	  0.000000000000e+00	  0.000000000000e+00	  2.583660256641e+02	  2.395728830013e+02	  1.306048407614e+00	  1.000000000000e-94	  4.321120967375e-01	  1.616100290200e+01	  2.431026636410e+00	
  0.000000000000e+00	  1.400000000000e+01	  0.000000000000e+00	  7.484643715853e+00	  2.004000000000e-02	  3.216000000000e-02	  4.489000000000e-02	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  6.085474755803e+01	  0.000000000000e+00	  0.000000000000e+00	  2.583660256641e+02	  2.395728830013e+02	  1.306048407614e+00	  1.000000000000e-94	  4.321120967375e-01	  1.616100290200e+01	  2.431026636410e+00	
  0.000000000000e+00	  1.500000000000e+01	  0.000000000000e+00	  7.353730837786e+00	  2.004000000000e-02	  3.216000000000e-02	  4.489000000000e-02	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  7.165177381930e+01	  0.000000000000e+00	  0.000000000000e+00	  3.110658895905e+02	  2.822372817883e+02	  1.772767634952e+00	  1.000000000000e-94	  3.820903775400e-01	  2.561058598747e+01	  2.862907690178e+00	
  0.000000000000e+00	  1.600000000000e+01	  0.000000000000e+00	  7.353730837786e+00	  2.004000000000e-02	  3.216000000000e-02	  4.489000000000e-02	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  7.165177381930e+01	  0.000000000000e+00	  0.000000000000e+00	  3.110658895905e+02	  2.822372817883e+02	  1.772767634952e+00	  1.000000000000e-94	  3.820903775400e-01	  2.561058598747e+01	  2.862907690178e+00	
  0.000000000000e+00	  1.700000000000e+01	  0.000000000000e+00	  7.288324303928e+00	  2.004000000000e-02	  3.216000000000e-02	  4.489000000000e-02	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  7.778291730629e+01	  0.000000000000e+00	  0.000000000000e+00	  3.422473553364e+02	  3.064132996955e+02	  2.065354311818e+00	  1.000000000000e-94	  3.595639671348e-01	  3.223969544026e+01	  3.108153433385e+00	
  0.000000000000e+00	  1.800000000000e+01	  0.000000000000e+00	  7.288324303928e+00	  2.004000000000e-02	  3.216000000000e-02	  4.489000000000e-02	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  7.778291730629e+01	  0.000000000000e+00	  0.000000000000e+00	  3.422473553364e+02	  3.064132996955e+02	  2.065354311818e+00	  1.000000000000e-94	  3.595639671348e-01	  3.223969544026e+01	  3.108153433385e+00	
  0.000000000000e+00	  1.900000000000e+01	  0.000000000000e+00	  7.288324303928e+00	  2.004000000000e-02	  3.216000000000e-02	  4.489000000000e-02	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  7.778291730629e+01	  0.000000000000e+00	  0.000000000000e+00	  3.422473553364e+02	  3.064132996955e+02	  2.065354311818e+00	  1.000000000000e-94	  3.595639671348e-01	  3.223969544026e+01	  3.108153433385e+00	
  0.000000000000e+00	  2.000000000000e+01	  0.000000000000e+00	  7.288324303928e+00	  2.004000000000e-02	  3.216000000000e-02	  4.489000000000e-02	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  7.778291730629e+01	  0.000000000000e+00	  0.000000000000e+00	  3.422473553364e+02	  3.064132996955e+02	  2.065354311818e+00	  1.000000000000e-94	  3.595639671348e-01	  3.223969544026e+01	  3.108153433385e+00	
  1.000000000000e+00	  1.000000000000e+00	  1.500000000000e+01	  8.424893001581e+00	  7.561926331199e-03	  3.195553056348e-02	  4.355067045795e-02	  1.004796311649e-02	  6.158731913652e-03	  1.340037347099e-03	  6.676774641479e-04	  6.694959490052e+01	  3.692359117622e-03	  3.092175154216e+01	  1.345943502014e+02	  1.298315749507e+02	  8.225767298419e-01	  7.089803844552e-11	  1.953454488978e+00	  1.019957610644e+00	  1.381876640543e+00	
  1.000000000000e+00	  2.000000000000e+00	  1.500000000000e+01	  8.424892999427e+00	  1.281208222711e-02	  3.205768395840e-02	  4.421983340157e-02	  1.494826716931e-02	  8.772360292657e-03	  1.739228936837e-03	  8.696315231282e-04	  6.694959558207e+01	  3.692359114232e-03	  3.092175153575e+01	  1.345943495583e+02	  1.298315743218e+02	  8.225767340220e-01	  7.089803880578e-11	  1.953454470510e+00	  1.019957610642e+00	  1.381876633852e+00	
  1.000000000000e+00	  3.000000000000e+00	  1.500000000000e+01	  8.294953318494e+00	  1.243341916337e-02	  3.205680217731e-02	  4.412806079263e-02	  1.508304671972e-02	  9.031546893604e-03	  1.851856373009e-03	  9.246309341517e-04	  7.792737270044e+01	  3.520179614803e-03	  3.058423845344e+01	  1.585289067392e+02	  1.531007875929e+02	  1.113574542157e+00	  1.208298231703e-10	  1.726155924426e+00	  1.616440638965e+00	  1.608690870620e+00	
  1.000000000000e+00	  4.000000000000e+00	  1.500000000000e+01	  8.294953318578e+00	  1.243341916350e-02	  3.205680217731e-02	  4.412806079266e-02	  1.511927012196e-02	  9.030628903572e-03	  1.851855932434e-03	  9.246684515232e-04	  7.792737266933e+01	  3.520179614892e-03	  3.058423845363e+01	  1.585289067685e+02	  1.531007876218e+02	  1.113574541936e+00	  1.208298231463e-10	  1.726155925061e+00	  1.616440638965e+00	  1.608690870922e+00	
  1.000000000000e+00	  5.000000000000e+00	  1.500000000000e+01	  8.164676329023e+00	  1.201723470570e-02	  3.205577251478e-02	  4.401444609202e-02	  1.599953668687e-02	  9.679414616745e-03	  1.980797576192e-03	  9.889648422409e-04	  9.101340064050e+01	  3.409099483943e-03	  3.033159920747e+01	  1.870326023959e+02	  1.804577996541e+02	  1.509209660224e+00	  2.061579890419e-10	  1.524888728176e+00	  2.561727659189e+00	  1.879052199570e+00	
  1.000000000000e+00	  6.000000000000e+00	  1.500000000000e+01	  8.164676329093e+00	  1.201723470582e-02	  3.205577251478e-02	  4.401444609206e-02	  1.604268302331e-02	  9.678727012542e-03	  1.980797311301e-03	  9.890105673516e-04	  9.101340061016e+01	  3.409099483987e-03	  3.033159920758e+01	  1.870326024244e+02	  1.804577996824e+02	  1.509209659974e+00	  2.061579890077e-10	  1.524888728640e+00	  2.561727659189e+00	  1.879052199861e+00	
  1.000000000000e+00	  7.000000000000e+00	  1.500000000000e+01	  8.034212195756e+00	  1.154880364571e-02	  3.205453719787e-02	  4.386996384667e-02	  1.706601122280e-02	  1.044107590768e-02	  2.132586026970e-03	  1.064692769599e-03	  1.065880853087e+02	  3.349891127981e-03	  3.014225424669e+01	  2.211238557911e+02	  2.126808323937e+02	  2.047019867675e+00	  3.520194294282e-10	  1.347694391038e+00	  4.059764470142e+00	  2.200813894066e+00	
  1.000000000000e+00	  8.000000000000e+00	  1.500000000000e+01	  8.034212195840e+00	  1.154880364587e-02	  3.205453719787e-02	  4.386996384672e-02	  1.711735037147e-02	  1.044055970313e-02	  2.132585915945e-03	  1.064748571540e-03	  1.065880852658e+02	  3.349891128003e-03	  3.014225424679e+01	  2.211238558312e+02	  2.126808324337e+02	  2.047019867266e+00	  3.520194293578e-10	  1.347694391530e+00	  4.059764470142e+00	  2.200813894473e+00	
  1.000000000000e+00	  9.000000000000e+00	  1.500000000000e+01	  7.903670247194e+00	  1.102413204178e-02	  3.205305615490e-02	  4.368643221354e-02	  1.830639923837e-02	  1.133712380632e-02	  2.311303309814e-03	  1.153848534027e-03	  1.251135558490e+02	  3.337762837576e-03	  2.999985831964e+01	  2.621026198203e+02	  2.506970433965e+02	  2.778010847466e+00	  6.014092659204e-10	  1.192276755285e+00	  6.433722022164e+00	  2.583515143380e+00	
  1.000000000000e+00	  1.000000000000e+01	  1.500000000000e+01	  7.903670247293e+00	  1.102413204203e-02	  3.205305615490e-02	  4.368643221364e-02	  1.836747326611e-02	  1.133673441813e-02	  2.311303344234e-03	  1.153916793316e-03	  1.251135557894e+02	  3.337762837566e-03	  2.999985831974e+01	  2.621026198756e+02	  2.506970434520e+02	  2.778010846810e+00	  6.014092657783e-10	  1.192276755796e+00	  6.433722022165e+00	  2.583515143940e+00	
  1.000000000000e+00	  1.100000000000e+01	  1.500000000000e+01	  7.773131128305e+00	  1.043972232775e-02	  3.205128162661e-02	  4.345359784579e-02	  1.974815230378e-02	  1.239177494131e-02	  2.521762216110e-03	  1.258829664849e-03	  1.471505841452e+02	  3.372104383430e-03	  2.989209441844e+01	  3.116561605072e+02	  2.956134322568e+02	  3.771485537838e+00	  1.027867203121e-09	  1.056280190771e+00	  1.019567291027e+01	  3.038729624377e+00	
  1.000000000000e+00	  1.200000000000e+01	  1.500000000000e+01	  7.773131128420e+00	  1.043972232802e-02	  3.205128162661e-02	  4.345359784591e-02	  1.982083292525e-02	  1.239147879800e-02	  2.521762400674e-03	  1.258913421040e-03	  1.471505840635e+02	  3.372104383376e-03	  2.989209441853e+01	  3.116561605824e+02	  2.956134323325e+02	  3.771485536802e+00	  1.027867202839e-09	  1.056280191293e+00	  1.019567291028e+01	  3.038729625136e+00	
  1.000000000000e+00	  1.300000000000e+01	  1.500000000000e+01	  7.642655615555e+00	  9.792893738844e-03	  3.204915658449e-02	  4.315863529532e-02	  2.142276061055e-02	  1.363356284485e-02	  2.769643292371e-03	  1.382465116663e-03	  1.733796724411e+02	  3.456536899612e-03	  2.980969917734e+01	  3.720139434184e+02	  3.487545170473e+02	  5.121602104865e+00	  1.757172674408e-09	  9.374432514760e-01	  1.615696512085e+01	  3.580499822409e+00	
  1.000000000000e+00	  1.400000000000e+01	  1.500000000000e+01	  7.642655615687e+00	  9.792893739289e-03	  3.204915658449e-02	  4.315863529554e-02	  2.150932084548e-02	  1.363333467953e-02	  2.769643645478e-03	  1.382568263166e-03	  1.733796723306e+02	  3.456536899496e-03	  2.980969917741e+01	  3.720139435193e+02	  3.487545171494e+02	  5.121602103250e+00	  1.757172673854e-09	  9.374432520037e-01	  1.615696512085e+01	  3.580499823424e+00	
