               shift	                cell	              time_d	                  pH	             Olivine	           Enstatite	           Lizardite	           Magnesite	          Chalcedony	             Fe(OH)3	       Rhodochrosite	                  Mg	                  Fe	                  Si	                   C	                HCO3	              MgHCO3	              FeHCO3	                 CO3	               CO2aq	          alkalinity	
  0.000000000000e+00	  1.300000000000e+01	  0.000000000000e+00	  7.484643715853e+00	  2.004000000000e-02	  3.216000000000e-02	  4.489000000000e-02	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  6.085474755803e+01	  0.000000000000e+00	  0.000000000000e+00	  2.583660256641e+02	  2.395728830013e+02	  1.306048407614e+00	  1.000000000000e-94	  4.321120967375e-01	  1.616100290200e+01	  2.431026636410e+00	
  0.000000000000e+00	  1.400000000000e+01	  0.000000000000e+00	  7.484643715853e+00	  2.004000000000e-02	  3.216000000000e-02	  4.489000000000e-02	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  6.085474755803e+01	  0.000000000000e+00	  0.000000000000e+00	  2.583660256641e+02	  2.395728830013e+02	  1.306048407614e+00	  1.000000000000e-94	  4.321120967375e-01	  1.616100290200e+01	  2.431026636410e+00	
  0.000000000000e+00	  1.500000000000e+01	  0.000000000000e+00	  7.353730837786e+00	  2.004000000000e-02	  3.216000000000e-02	  4.489000000000e-02	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  7.165177381930e+01	  0.000000000000e+00	  0.000000000000e+00	  3.110658895905e+02	  2.822372817883e+02	  1.772767634952e+00	  1.000000000000e-94	  3.820903775400e-01	  2.561058598747e+01	  2.862907690178e+00	
  0.000000000000e+00	  1.600000000000e+01	  0.000000000000e+00	  7.353730837786e+00	  2.004000000000e-02	  3.216000000000e-02	  4.489000000000e-02	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  7.165177381930e+01	  0.000000000000e+00	  0.000000000000e+00	  3.110658895905e+02	  2.822372817883e+02	  1.772767634952e+00	  1.000000000000e-94	  3.820903775400e-01	  2.561058598747e+01	  2.862907690178e+00	
  0.000000000000e+00	  1.700000000000e+01	  0.000000000000e+00	  7.288324303928e+00	  2.004000000000e-02	  3.216000000000e-02	  4.489000000000e-02	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  7.778291730629e+01	  0.000000000000e+00	  0.000000000000e+00	  3.422473553364e+02	  3.064132996955e+02	  2.065354311818e+00	  1.000000000000e-94	  3.595639671348e-01	  3.223969544026e+01	  3.108153433385e+00	
  0.000000000000e+00	  1.800000000000e+01	  0.000000000000e+00	  7.288324303928e+00	  2.004000000000e-02	  3.216000000000e-02	  4.489000000000e-02	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  7.778291730629e+01	  0.000000000000e+00	  0.000000000000e+00	  3.422473553364e+02	  3.064132996955e+02	  2.065354311818e+00	  1.000000000000e-94	  3.595639671348e-01	  3.223969544026e+01	  3.108153433385e+00	
  0.000000000000e+00	  1.900000000000e+01	  0.000000000000e+00	  7.288324303928e+00	  2.004000000000e-02	  3.216000000000e-02	  4.489000000000e-02	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  7.778291730629e+01	  0.000000000000e+00	  0.000000000000e+00	  3.422473553364e+02	  3.064132996955e+02	  2.065354311818e+00	  1.000000000000e-94	  3.595639671348e-01	  3.223969544026e+01	  3.108153433385e+00	
  0.000000000000e+00	  2.000000000000e+01	  0.000000000000e+00	  7.288324303928e+00	  2.004000000000e-02	  3.216000000000e-02	  4.489000000000e-02	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  7.778291730629e+01	  0.000000000000e+00	  0.000000000000e+00	  3.422473553364e+02	  3.064132996955e+02	  2.065354311818e+00	  1.000000000000e-94	  3.595639671348e-01	  3.223969544026e+01	  3.108153433385e+00	
  1.000000000000e+00	  1.000000000000e+00	  1.500000000000e+01	  8.424893001539e+00	  1.918513944442e-02	  3.214970097271e-02	  4.481660588477e-02	  6.792296710524e-05	  9.865855678869e-05	  1.014952333318e-04	  4.785497637355e-05	  6.694959491398e+01	  3.692359117555e-03	  3.092175154203e+01	  1.345943501887e+02	  1.298315749382e+02	  8.225767299245e-01	  7.089803845264e-11	  1.953454488613e+00	  1.019957610644e+00	  1.381876640411e+00	
  1.000000000000e+00	  2.000000000000e+00	  1.500000000000e+01	  8.424893001481e+00	  1.961888427462e-02	  3.215486663435e-02	  4.485502246384e-02	  3.436260963438e-04	  2.920381785352e-04	  9.949494562980e-05	  5.036887240038e-05	  6.694959493231e+01	  3.692359117464e-03	  3.092175154186e+01	  1.345943501714e+02	  1.298315749213e+02	  8.225767300369e-01	  7.089803846232e-11	  1.953454488116e+00	  1.019957610644e+00	  1.381876640231e+00	
